swapSweep(gmoverid "ID") (L=1.2e-05) X,swapSweep(gmoverid "ID") (L=1.2e-05) Y
1e-09,28.70209292914515
1.8e-09,28.45593107349233
3.200000000000001e-09,28.16740302175356
5.6e-09,27.83666497347577
1e-08,27.44638264320525
1.8e-08,26.98597477127179
3.2e-08,26.43468076522164
5.600000000000001e-08,25.70468700837912
1e-07,24.54920344326741
1.8e-07,22.73402551436551
3.2e-07,20.20863253483743
5.6e-07,17.11421612018863
1e-06,13.64636966407223
1.8e-06,10.45750646408397
3.2e-06,8.016787496181415
5.6e-06,6.195573670770431
9.999999999999999e-06,4.676810880174092
1.8e-05,3.438944792318196
3.2e-05,2.509570211187042
5.6e-05,1.854385068111998
9.999999999999999e-05,1.392777205028998
0.00018,1.106098461083192
0.00032,0.8431017994229397
0.00056,0.6523973703747523
0.001,0.6041663019917122
