swapSweep(gmro "ID") (L=5e-07) X,swapSweep(gmro "ID") (L=5e-07) Y
1e-09,29.30308037594872
1.8e-09,30.14686436807441
3.200000000000001e-09,30.88262846939664
5.6e-09,31.53219196145796
1e-08,32.13924851376651
1.8e-08,32.69103528480925
3.2e-08,33.17614926114745
5.600000000000001e-08,33.60936612058565
1e-07,34.04017493867534
1.8e-07,34.49113816234345
3.2e-07,34.96190452034556
5.6e-07,35.41778932274934
1e-06,35.81609247875171
1.8e-06,36.06770499042933
3.2e-06,36.17035122023923
5.6e-06,36.1720876032363
9.999999999999999e-06,35.97353541319998
1.8e-05,35.23949827347519
3.2e-05,33.67385606220807
5.6e-05,31.32093981868717
9.999999999999999e-05,28.42840792009872
0.00018,25.63249720411045
0.00032,23.31079441478625
0.00056,20.67655245219785
0.001,15.66781033618159
