swapSweep(cgg "ID") (L=6e-06) X,swapSweep(cgg "ID") (L=6e-06) Y
1e-09,1.182820764172697e-13
1.8e-09,1.197094331617115e-13
3.200000000000001e-09,1.220715493322054e-13
5.6e-09,1.256466748959078e-13
1e-08,1.310927782353186e-13
1.8e-08,1.388629100749528e-13
3.2e-08,1.489973456703262e-13
5.600000000000001e-08,1.61319031872553e-13
1e-07,1.765158048549265e-13
1.8e-07,1.939045135805327e-13
3.2e-07,2.11918096814759e-13
5.6e-07,2.289315370756372e-13
1e-06,2.442303404011362e-13
1.8e-06,2.55923613016435e-13
3.2e-06,2.635806263671262e-13
5.6e-06,2.683590845573445e-13
9.999999999999999e-06,2.716488232467319e-13
1.8e-05,2.739775175816692e-13
3.2e-05,2.75527620739116e-13
5.6e-05,2.763667841776011e-13
9.999999999999999e-05,2.764905600587025e-13
0.00018,2.757567810725516e-13
0.00032,2.741371753715995e-13
0.00056,2.717724204876023e-13
0.001,2.69756722171786e-13
