swapSweep(gmro "ID") (L=1.2e-05) X,swapSweep(gmro "ID") (L=1.2e-05) Y
1e-09,886.7811350173879
1.8e-09,922.8969988695378
3.200000000000001e-09,954.5243370482506
5.6e-09,981.0031608179349
1e-08,1006.770970864123
1.8e-08,1029.946289385131
3.2e-08,1054.947464508271
5.600000000000001e-08,1083.140631644077
1e-07,1114.199181531813
1.8e-07,1144.488682570678
3.2e-07,1163.083695531986
5.6e-07,1165.733772304108
1e-06,1155.021341509939
1.8e-06,1140.648894454568
3.2e-06,1127.131843643098
5.6e-06,1104.956019193001
9.999999999999999e-06,1059.252350523481
1.8e-05,984.6150301426482
3.2e-05,892.4372953414951
5.6e-05,795.6235533239937
9.999999999999999e-05,695.7819827273927
0.00018,595.2888425805514
0.00032,492.7041369883908
0.00056,379.9988991495742
0.001,231.638582550668
