swapSweep(cgg "ID") (L=1e-05) X,swapSweep(cgg "ID") (L=1e-05) Y
1e-09,3.248614173355167e-13
1.8e-09,3.288874303584418e-13
3.200000000000001e-09,3.357105318102228e-13
5.6e-09,3.458402967197629e-13
1e-08,3.610638814437066e-13
1.8e-08,3.832659623806382e-13
3.2e-08,4.115260805455838e-13
5.600000000000001e-08,4.465245418727304e-13
1e-07,4.890509344399099e-13
1.8e-07,5.381928377217479e-13
3.2e-07,5.886250841668721e-13
5.6e-07,6.364332109714186e-13
1e-06,6.789231653926656e-13
1.8e-06,7.113269416121379e-13
3.2e-06,7.324569441715557e-13
5.6e-06,7.456307395047617e-13
9.999999999999999e-06,7.547140433476419e-13
1.8e-05,7.61148402172383e-13
3.2e-05,7.654189158483198e-13
5.6e-05,7.677061751196329e-13
9.999999999999999e-05,7.679925430446556e-13
0.00018,7.658838713839543e-13
0.00032,7.613113845983828e-13
0.00056,7.546860115444596e-13
0.001,7.496359660504254e-13
