swapSweep(cgg "ID") (L=1e-06) X,swapSweep(cgg "ID") (L=1e-06) Y
1e-09,3.503830416176485e-15
1.8e-09,3.530038212580237e-15
3.200000000000001e-09,3.578346941708867e-15
5.6e-09,3.656250811404695e-15
1e-08,3.780699577789987e-15
1.8e-08,3.965052162439812e-15
3.2e-08,4.212403123005855e-15
5.600000000000001e-08,4.518846690800042e-15
1e-07,4.902940619558013e-15
1.8e-07,5.349152565034719e-15
3.2e-07,5.820001232797e-15
5.6e-07,6.277708365150786e-15
1e-06,6.707087051590854e-15
1.8e-06,7.051591728557523e-15
3.2e-06,7.285638899202346e-15
5.6e-06,7.432702438464532e-15
9.999999999999999e-06,7.532011575183355e-15
1.8e-05,7.601326687570633e-15
3.2e-05,7.6484444712676e-15
5.6e-05,7.676146548836515e-15
9.999999999999999e-05,7.684601553667987e-15
0.00018,7.669218558667351e-15
0.00032,7.627585342055389e-15
0.00056,7.561320398889518e-15
0.001,7.492718081923572e-15
