swapSweep(gmro "ID") (L=1e-05) X,swapSweep(gmro "ID") (L=1e-05) Y
1e-09,3198.035169061161
1.8e-09,3305.063911706472
3.200000000000001e-09,3403.588848100168
5.6e-09,3497.422393491067
1e-08,3603.47509815181
1.8e-08,3732.167040702333
3.2e-08,3868.862456380598
5.600000000000001e-08,3992.146995241637
1e-07,4060.061503143128
1.8e-07,4017.491370061709
3.2e-07,3843.340223945209
5.6e-07,3565.267628964955
1e-06,3217.16078798639
1.8e-06,2840.641830935947
3.2e-06,2463.7345328041
5.6e-06,2097.461280980315
9.999999999999999e-06,1738.450214798972
1.8e-05,1418.717605965024
3.2e-05,1158.057034219697
5.6e-05,949.4359256431864
9.999999999999999e-05,768.6902594704025
0.00018,606.610558294977
0.00032,442.7417158938909
0.00056,215.2120998314863
0.001,30.03860321704963
