swapSweep(gmro "ID") (L=6e-06) X,swapSweep(gmro "ID") (L=6e-06) Y
1e-09,717.8817879597656
1.8e-09,744.4562767589367
3.200000000000001e-09,767.4172152849872
5.6e-09,787.0944327899703
1e-08,805.4403608354859
1.8e-08,823.1324589370333
3.2e-08,841.2356515844968
5.600000000000001e-08,860.6080283163595
1e-07,882.0296522300439
1.8e-07,900.7943231534078
3.2e-07,909.6976120035329
5.6e-07,904.6148050565648
1e-06,886.658570416802
1.8e-06,862.9931589023822
3.2e-06,838.3199296479188
5.6e-06,807.2978257166139
9.999999999999999e-06,758.9103898127074
1.8e-05,690.5713832931376
3.2e-05,611.7916912449726
5.6e-05,532.338171782467
9.999999999999999e-05,453.4355362041767
0.00018,378.0396328843354
0.00032,306.4026707688887
0.00056,234.1115930030979
0.001,147.6282871633562
