swapSweep(gmoverid "ID") (L=5e-07) X,swapSweep(gmoverid "ID") (L=5e-07) Y
1e-09,24.63498307301963
1.8e-09,24.36940826966276
3.200000000000001e-09,24.0560151359122
5.6e-09,23.69788352708771
1e-08,23.26845789228412
1.8e-08,22.7595240397663
3.2e-08,22.12627277280001
5.600000000000001e-08,21.26710980235664
1e-07,19.96390370113541
1.8e-07,18.10861629758608
3.2e-07,15.79309849686336
5.6e-07,13.27992602268039
1e-06,10.70542141762977
1.8e-06,8.390005634218696
3.2e-06,6.483710918694135
5.6e-06,4.939152122008435
9.999999999999999e-06,3.627115727846199
1.8e-05,2.583339740377432
3.2e-05,1.816727021690839
5.6e-05,1.271432429742011
9.999999999999999e-05,0.8681268306563549
0.00018,0.5862810953102421
0.00032,0.4019610160518936
0.00056,0.2848795661949726
0.001,0.238125853080766
