swapSweep(gmro "ID") (L=3.5e-07) X,swapSweep(gmro "ID") (L=3.5e-07) Y
1e-09,37.68196468761194
1.8e-09,38.11520341250522
3.200000000000001e-09,38.48020640160345
5.6e-09,38.77717649586913
1e-08,39.0218284307816
1.8e-08,39.20174648558926
3.2e-08,39.31086663250795
5.600000000000001e-08,39.35820439668822
1e-07,39.35335782647337
1.8e-07,39.2930997468236
3.2e-07,39.1563123003279
5.6e-07,38.90374204051933
1e-06,38.49798610193177
1.8e-06,38.03236247959197
3.2e-06,37.65519333452053
5.6e-06,37.29235083432722
9.999999999999999e-06,36.55362123467469
1.8e-05,34.98205404770634
3.2e-05,32.42760464150033
5.6e-05,29.19698968154546
9.999999999999999e-05,25.76508977582696
0.00018,22.98008785487393
0.00032,21.23991171395149
0.00056,17.62866027817893
0.001,1.255917500745818
