swapSweep(gmro "ID") (L=1.3e-07) X,swapSweep(gmro "ID") (L=1.3e-07) Y
1e-09,18.717730324124
1.8e-09,19.29391730047245
3.200000000000001e-09,19.82522955686534
5.6e-09,20.30587693221744
1e-08,20.76576211915026
1.8e-08,21.18698300489093
3.2e-08,21.54679182434931
5.600000000000001e-08,21.83668280826053
1e-07,22.06481671928704
1.8e-07,22.21080285747981
3.2e-07,22.2623284790538
5.6e-07,22.21951581918074
1e-06,22.07121838688614
1.8e-06,21.82007849728735
3.2e-06,21.52631154341621
5.6e-06,21.27216190639819
9.999999999999999e-06,21.01058569966965
1.8e-05,20.45515761699734
3.2e-05,19.24374644821587
5.6e-05,17.36073659000462
9.999999999999999e-05,15.20202548328666
0.00018,13.31559254373641
0.00032,4.642472949472626
0.00056,0.2774245396505208
0.001,0
