swapSweep(gmro "ID") (L=5e-07) X,swapSweep(gmro "ID") (L=5e-07) Y
1e-09,103.4122554521404
1.8e-09,105.0483669370637
3.200000000000001e-09,106.4847587586664
5.6e-09,107.7352613250321
1e-08,108.88945710477
1.8e-08,109.9542384197856
3.2e-08,110.9585610008374
5.600000000000001e-08,111.9883557320129
1e-07,113.168591464037
1.8e-07,114.3881145125424
3.2e-07,115.272300102899
5.6e-07,115.3365639316705
1e-06,114.153436597537
1.8e-06,111.7004152647406
3.2e-06,108.5772230371492
5.6e-06,105.0388042441649
9.999999999999999e-06,100.1585257743092
1.8e-05,92.95027035400612
3.2e-05,83.50701417584935
5.6e-05,73.05389933695218
9.999999999999999e-05,62.63779939524098
0.00018,53.91715196393438
0.00032,47.56485563924567
0.00056,42.07398707134133
0.001,16.39134121542328
