swapSweep(gmro "ID") (L=3.5e-07) X,swapSweep(gmro "ID") (L=3.5e-07) Y
1e-09,83.42338454571295
1.8e-09,83.28769199873059
3.200000000000001e-09,83.0694426367142
5.6e-09,82.83202029941741
1e-08,82.65833082706689
1.8e-08,82.67392793363599
3.2e-08,82.92043413028669
5.600000000000001e-08,83.23842970742639
1e-07,83.24217607452117
1.8e-07,82.30002090834326
3.2e-07,79.89219367971565
5.6e-07,75.86134316223779
1e-06,69.94596340847075
1.8e-06,62.46559342843115
3.2e-06,54.15327637872689
5.6e-06,45.71017223290223
9.999999999999999e-06,37.26781626379672
1.8e-05,29.63112456101451
3.2e-05,23.37673797361481
5.6e-05,18.49300773264194
9.999999999999999e-05,14.57659140828483
0.00018,11.63361313581123
0.00032,9.574595089440121
0.00056,8.164013028749951
0.001,7.797219260834038
