swapSweep(cgg "ID") (L=6e-06) X,swapSweep(cgg "ID") (L=6e-06) Y
1e-09,1.167486486585252e-13
1.8e-09,1.185803971013664e-13
3.200000000000001e-09,1.212442232620017e-13
5.6e-09,1.24904899875114e-13
1e-08,1.301310216380749e-13
1.8e-08,1.372835083383864e-13
3.2e-08,1.464770728845116e-13
5.600000000000001e-08,1.576782664887792e-13
1e-07,1.71879716178635e-13
1.8e-07,1.887764299901529e-13
3.2e-07,2.074671266076681e-13
5.6e-07,2.269136833334822e-13
1e-06,2.470447517443134e-13
1.8e-06,2.653733921901893e-13
3.2e-06,2.795917259890906e-13
5.6e-06,2.89387232950904e-13
9.999999999999999e-06,2.961859825794672e-13
1.8e-05,3.008501704567258e-13
3.2e-05,3.042142457182156e-13
5.6e-05,3.069035623792681e-13
9.999999999999999e-05,3.092876145924418e-13
0.00018,3.113412098722125e-13
0.00032,3.129897139736332e-13
0.00056,3.142181035514088e-13
0.001,3.150030242827822e-13
