swapSweep(gmoverid "ID") (L=2e-07) X,swapSweep(gmoverid "ID") (L=2e-07) Y
1e-09,26.71327973048028
1.8e-09,26.48521408877038
3.200000000000001e-09,26.20062512351826
5.6e-09,25.85024756362284
1e-08,25.3925429745826
1.8e-08,24.80615588830215
3.2e-08,24.08588910706754
5.600000000000001e-08,23.18761065922985
1e-07,21.95421638975803
1.8e-07,20.24930595552487
3.2e-07,18.06874085793301
5.6e-07,15.52909626627079
1e-06,12.79105137978427
1.8e-06,10.27737893631798
3.2e-06,8.228256951404783
5.6e-06,6.492810804053179
9.999999999999999e-06,4.852766609913306
1.8e-05,3.378965317397996
3.2e-05,2.208685399209968
5.6e-05,1.36320184227312
9.999999999999999e-05,0.7581039695930315
0.00018,0.362948210064913
0.00032,0.2430427941558833
0.00056,0.2322414428422315
0.001,0.2255218555358851
