swapSweep(gmoverid "ID") (L=2e-07) X,swapSweep(gmoverid "ID") (L=2e-07) Y
1e-09,27.58893914459641
1.8e-09,27.44947810215732
3.200000000000001e-09,27.26661785928961
5.6e-09,27.029155825962
1e-08,26.69958884230699
1.8e-08,26.2535892287376
3.2e-08,25.67382781791568
5.600000000000001e-08,24.93715861295972
1e-07,23.96215113578623
1.8e-07,22.70861627445321
3.2e-07,21.19511630993844
5.6e-07,19.43388419289089
1e-06,17.3369769851681
1.8e-06,15.05961972338909
3.2e-06,12.85381694207853
5.6e-06,10.84217401675569
9.999999999999999e-06,8.862782245664807
1.8e-05,6.874462947256693
3.2e-05,4.988976160983896
5.6e-05,3.363952508714183
9.999999999999999e-05,2.063898749151446
0.00018,1.175360892734195
0.00032,0.6341881752187245
0.00056,0.2830629638220948
0.001,-0.04635463017481808
