swapSweep(gmro "ID") (L=1e-05) X,swapSweep(gmro "ID") (L=1e-05) Y
1e-09,78.14528085245169
1.8e-09,91.8657972461817
3.200000000000001e-09,103.4558494751911
5.6e-09,113.1207054304844
1e-08,121.6228777774795
1.8e-08,129.4669554075511
3.2e-08,136.671294892908
5.600000000000001e-08,143.706660926591
1e-07,150.6424198293333
1.8e-07,155.9430081213884
3.2e-07,157.6118961293232
5.6e-07,154.4170331103784
1e-06,146.0197161578093
1.8e-06,134.9364681412445
3.2e-06,125.1964735947276
5.6e-06,117.3886190662376
9.999999999999999e-06,109.6377441227368
1.8e-05,101.9709169124139
3.2e-05,96.02082477540927
5.6e-05,92.5673888349725
9.999999999999999e-05,88.43324689192528
0.00018,66.20901620295962
0.00032,11.25256321691311
0.00056,4.801348634867214
0.001,4.050204605729617
