swapSweep(gmro "ID") (L=1.3e-07) X,swapSweep(gmro "ID") (L=1.3e-07) Y
1e-09,28.61918242068117
1.8e-09,29.45547102057627
3.200000000000001e-09,30.20438799994082
5.6e-09,30.87316325581546
1e-08,31.50345546749394
1.8e-08,32.0780915791407
3.2e-08,32.57766100254374
5.600000000000001e-08,32.99218847355094
1e-07,33.30876644877809
1.8e-07,33.41924387549933
3.2e-07,33.17440904488927
5.6e-07,32.4535725509328
1e-06,31.17110359663341
1.8e-06,29.49977590459511
3.2e-06,27.74560741534825
5.6e-06,25.84910714021675
9.999999999999999e-06,23.32881558744791
1.8e-05,20.01020943227929
3.2e-05,16.33195883535423
5.6e-05,12.94606934003501
9.999999999999999e-05,9.965490879817079
0.00018,6.907613456812612
0.00032,5.818266191154673
0.00056,5.669739651327658
0.001,5.564003571854505
