swapSweep(gmro "ID") (L=1.2e-05) X,swapSweep(gmro "ID") (L=1.2e-05) Y
1e-09,79.649205911843
1.8e-09,94.20010981001548
3.200000000000001e-09,106.5725831260368
5.6e-09,116.9105991466659
1e-08,126.0393164023872
1.8e-08,134.3892515239509
3.2e-08,142.2182708900993
5.600000000000001e-08,149.7812356800115
1e-07,157.2390050917998
1.8e-07,162.9578009168714
3.2e-07,164.7641423081743
5.6e-07,161.3214186035906
1e-06,152.3106131878947
1.8e-06,140.4863575168206
3.2e-06,130.1616578861535
5.6e-06,121.9290716721317
9.999999999999999e-06,113.7972981912053
1.8e-05,105.8056948392294
3.2e-05,99.67372883146376
5.6e-05,96.19273562339222
9.999999999999999e-05,91.87950190320319
0.00018,67.58930830191339
0.00032,10.99277884020183
0.00056,4.841200669737876
0.001,4.085826556370055
