swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=6e-06) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=6e-06) Y
1e-09,1.546571643701384e-13
1.8e-09,1.55297823659844e-13
3.2e-09,1.573389303937652e-13
5.6e-09,1.615675969871601e-13
1e-08,1.695885615197926e-13
1.8e-08,1.830507219606859e-13
3.2e-08,2.027151107095295e-13
5.6e-08,2.284516001925935e-13
1e-07,2.615261191875948e-13
1.8e-07,3.002039470643487e-13
3.2e-07,3.410701567602939e-13
5.6e-07,3.816571992272252e-13
1e-06,4.228285073618195e-13
1.8e-06,4.622005893827139e-13
3.2e-06,4.970590689428503e-13
5.6e-06,5.260851645776122e-13
1e-05,5.501272207924677e-13
1.8e-05,5.682175979425971e-13
3.2e-05,5.809426805331564e-13
5.6e-05,5.902645955020773e-13
0.0001,5.978851233684157e-13
0.00018,6.039605528002101e-13
0.00032,6.08158814359292e-13
0.00056,6.101629055008114e-13
0.001,6.096951957574164e-13
