swapSweep(gmoverid "ID") (L=6e-06) X,swapSweep(gmoverid "ID") (L=6e-06) Y
1e-09,24.08845469118604
1.8e-09,23.79859733600842
3.200000000000001e-09,23.46238071874812
5.6e-09,23.0855235330684
1e-08,22.63873024701401
1.8e-08,22.08987022439629
3.2e-08,21.3632993623586
5.600000000000001e-08,20.33853601705539
1e-07,18.80612844197908
1.8e-07,16.73534155237635
3.2e-07,14.34318096524488
5.6e-07,11.93120619626668
1e-06,9.608910557487086
1.8e-06,7.577792784674314
3.2e-06,5.901146545650049
5.6e-06,4.532544017388774
9.999999999999999e-06,3.374604868055409
1.8e-05,2.461299582465915
3.2e-05,1.791710948050709
5.6e-05,1.312197542023997
9.999999999999999e-05,0.9535260085141495
0.00018,0.700050505694205
0.00032,0.5344135350814301
0.00056,0.4330023461696078
0.001,0.3627248787057288
