swapSweep(gmoverid "ID") (L=1e-06) X,swapSweep(gmoverid "ID") (L=1e-06) Y
1e-09,27.94562824288104
1.8e-09,27.7140446772633
3.200000000000001e-09,27.43640465061626
5.6e-09,27.11256249044457
1e-08,26.71346322778722
1.8e-08,26.235672267068
3.2e-08,25.66479550429638
5.600000000000001e-08,24.938827469485
1e-07,23.86435563008068
1.8e-07,22.21938485434234
3.2e-07,19.93184597807222
5.6e-07,17.09546321121405
1e-06,13.86978370827078
1.8e-06,10.81671640527181
3.2e-06,8.392146774724267
5.6e-06,6.526187670293134
9.999999999999999e-06,4.923899885473199
1.8e-05,3.57755262593678
3.2e-05,2.531352655243444
5.6e-05,1.769293610877788
9.999999999999999e-05,1.208366326456672
0.00018,0.8290498793181155
0.00032,0.5977290920581229
0.00056,0.5164416392076137
0.001,0.4951721192002279
