swapSweep(gmoverid "ID") (L=1.2e-05) X,swapSweep(gmoverid "ID") (L=1.2e-05) Y
1e-09,26.89012363029319
1.8e-09,26.67302297331209
3.200000000000001e-09,26.39051724197493
5.6e-09,26.04649619430931
1e-08,25.57543320024684
1.8e-08,25.02505982192542
3.2e-08,24.33294461033968
5.600000000000001e-08,23.46238654241861
1e-07,22.31176672900508
1.8e-07,20.6794160847306
3.2e-07,18.6452299415432
5.6e-07,16.3059993060016
1e-06,13.8092580114782
1.8e-06,11.51609381565633
3.2e-06,9.596514757413036
5.6e-06,7.957310291528221
9.999999999999999e-06,6.422221528538961
1.8e-05,5.019784865909179
3.2e-05,3.852441402682386
5.6e-05,2.927837691427537
9.999999999999999e-05,2.179139781930376
0.00018,1.598188272604527
0.00032,1.16533550450082
0.00056,0.846383747488116
0.001,0.6103841826102775
