swapSweep(gmoverid "ID") (L=5e-07) X,swapSweep(gmoverid "ID") (L=5e-07) Y
1e-09,25.11719828859703
1.8e-09,24.96715170204159
3.200000000000001e-09,24.77317318925192
5.6e-09,24.52685249060285
1e-08,24.19835545216644
1.8e-08,23.77246552133054
3.2e-08,23.24943518474075
5.600000000000001e-08,22.61462807830775
1e-07,21.77655644587812
1.8e-07,20.65150589707241
3.2e-07,19.15987670133201
5.6e-07,17.28187933528773
1e-06,14.97786952561236
1.8e-06,12.54738854526402
3.2e-06,10.36148449175849
5.6e-06,8.513189388971327
9.999999999999999e-06,6.807272007971094
1.8e-05,5.219395500773016
3.2e-05,3.828971610380125
5.6e-05,2.700685647730046
9.999999999999999e-05,1.801636757461749
0.00018,1.148317084524487
0.00032,0.7097870241124261
0.00056,0.4276920863796809
0.001,0.2431700567095491
