swapSweep(gmoverid "ID") (L=1.2e-05) X,swapSweep(gmoverid "ID") (L=1.2e-05) Y
1e-09,30.76958538924035
1.8e-09,30.59778686207682
3.200000000000001e-09,30.38350732544352
5.6e-09,30.12172499048771
1e-08,29.76092271696463
1.8e-08,29.32658885056319
3.2e-08,28.80673260299888
5.600000000000001e-08,28.18116067023811
1e-07,27.39476025049875
1.8e-07,26.42350766638546
3.2e-07,25.17184074885966
5.6e-07,23.51672895324809
1e-06,21.24129746801172
1.8e-06,18.3947046063642
3.2e-06,15.34404649305608
5.6e-06,12.47724314229743
9.999999999999999e-06,9.857406038237892
1.8e-05,7.622072935263295
3.2e-05,5.799187815583677
5.6e-05,4.332053957350538
9.999999999999999e-05,3.126489120459324
0.00018,2.207015493557087
0.00032,1.564886936404788
0.00056,1.156394865155904
0.001,0.8225149954493479
