swapSweep(cgg "ID") (L=1e-06) X,swapSweep(cgg "ID") (L=1e-06) Y
1e-09,3.814558958921726e-15
1.8e-09,3.856437241948434e-15
3.200000000000001e-09,3.918266896288037e-15
5.6e-09,4.0051955794857e-15
1e-08,4.131061100462278e-15
1.8e-08,4.306738946865539e-15
3.2e-08,4.536117186801132e-15
5.600000000000001e-08,4.823365463693187e-15
1e-07,5.194060104498321e-15
1.8e-07,5.645885011901955e-15
3.2e-07,6.157046450712565e-15
5.6e-07,6.702874062813338e-15
1e-06,7.288652572250075e-15
1.8e-06,7.847163452497253e-15
3.2e-06,8.301976094142574e-15
5.6e-06,8.627209628511521e-15
9.999999999999999e-06,8.853784246612704e-15
1.8e-05,9.004741049951197e-15
3.2e-05,9.109752118727338e-15
5.6e-05,9.191437304130807e-15
9.999999999999999e-05,9.263586739378928e-15
0.00018,9.325903181592099e-15
0.00032,9.375832315605486e-15
0.00056,9.411460744730166e-15
0.001,9.428646862353778e-15
