swapSweep(gmoverid "ID") (L=3.5e-07) X,swapSweep(gmoverid "ID") (L=3.5e-07) Y
1e-09,25.89791337376347
1.8e-09,25.75211693806249
3.200000000000001e-09,25.55708330407637
5.6e-09,25.30092176920835
1e-08,24.94407730732935
1.8e-08,24.45863123501663
3.2e-08,23.83254904574421
5.600000000000001e-08,23.04307192203622
1e-07,21.99804119646288
1.8e-07,20.64675359313075
3.2e-07,18.98844506654861
5.6e-07,17.04874673073765
1e-06,14.80772275862028
1.8e-06,12.57059170225378
3.2e-06,10.61212243093623
5.6e-06,8.926774629535405
9.999999999999999e-06,7.264691423425286
1.8e-05,5.590852492788652
3.2e-05,4.038345461536372
5.6e-05,2.747677292000691
9.999999999999999e-05,1.732678001150936
0.00018,1.029319818906174
0.00032,0.5873484021580693
0.00056,0.3218307834412568
0.001,0.1512854466174504
