swapSweep(gmoverid "ID") (L=1.2e-05) X,swapSweep(gmoverid "ID") (L=1.2e-05) Y
1e-09,24.05857453276344
1.8e-09,23.76819714155859
3.200000000000001e-09,23.42243183883789
5.6e-09,23.04260687412676
1e-08,22.5978675681873
1.8e-08,22.03468701665248
3.2e-08,21.30289896199282
5.600000000000001e-08,20.25025736346715
1e-07,18.70476241170554
1.8e-07,16.60820223585367
3.2e-07,14.22165856279347
5.6e-07,11.82097170206423
1e-06,9.521019571865791
1.8e-06,7.51086504552454
3.2e-06,5.849531640935249
5.6e-06,4.492505443385884
9.999999999999999e-06,3.345115279478673
1.8e-05,2.441166321315634
3.2e-05,1.77892101419008
5.6e-05,1.304806138137576
9.999999999999999e-05,0.9502916807902426
0.00018,0.6999992697206603
0.00032,0.5369608375972202
0.00056,0.4383848792056569
0.001,0.3793268125573935
