swapSweep(gmro "ID") (L=2e-06) X,swapSweep(gmro "ID") (L=2e-06) Y
1e-09,397.4135140608378
1.8e-09,408.1314123662065
3.200000000000001e-09,417.4674793605203
5.6e-09,425.5885260976452
1e-08,433.2180487397444
1.8e-08,440.593032463951
3.2e-08,448.0430397282841
5.600000000000001e-08,455.9010874451396
1e-07,464.1906827680586
1.8e-07,470.6479266202543
3.2e-07,471.6717045510297
5.6e-07,464.9087134496515
1e-06,449.9084203292009
1.8e-06,429.9210840408414
3.2e-06,408.699757443565
5.6e-06,385.1085047137781
9.999999999999999e-06,354.0745074678758
1.8e-05,314.8481346628682
3.2e-05,272.0430685972617
5.6e-05,230.7981165644569
9.999999999999999e-05,191.816219707484
0.00018,157.0735661774735
0.00032,126.798284576218
0.00056,99.12463359787303
0.001,69.2006456923923
