swapSweep(gmoverid "ID") (L=1.3e-07) X,swapSweep(gmoverid "ID") (L=1.3e-07) Y
1e-09,25.24819539661686
1.8e-09,25.05251442056459
3.200000000000001e-09,24.80736755635647
5.6e-09,24.50282367459461
1e-08,24.10227910675101
1.8e-08,23.58731107780001
3.2e-08,22.94823708894452
5.600000000000001e-08,22.15790422909648
1e-07,21.09009220835753
1.8e-07,19.63853463427276
3.2e-07,17.74986478604467
5.6e-07,15.47953582523211
1e-06,12.90876373288946
1.8e-06,10.43519493916755
3.2e-06,8.366969606762511
5.6e-06,6.629525263172442
9.999999999999999e-06,4.978000882170573
1.8e-05,3.452000937036352
3.2e-05,2.205448781699873
5.6e-05,1.299883335938986
9.999999999999999e-05,0.6633550103755067
0.00018,0.2600838692245158
0.00032,0.1837153525790912
0.00056,0.1754549159456059
0.001,0.1698604557691665
