swapSweep(gmoverid "ID") (L=1e-05) X,swapSweep(gmoverid "ID") (L=1e-05) Y
1e-09,30.76244810816062
1.8e-09,30.58872791292084
3.200000000000001e-09,30.38335847830775
5.6e-09,30.12148799355465
1e-08,29.76069867416405
1.8e-08,29.32652536743908
3.2e-08,28.80553264441758
5.600000000000001e-08,28.17953368949459
1e-07,27.39300409137166
1.8e-07,26.41948124626434
3.2e-07,25.16524501459725
5.6e-07,23.50878589667569
1e-06,21.23257149321179
1.8e-06,18.38621682855375
3.2e-06,15.33626070104404
5.6e-06,12.4704010555779
9.999999999999999e-06,9.851280987016189
1.8e-05,7.615485212819606
3.2e-05,5.791793516930055
5.6e-05,4.323598038020821
9.999999999999999e-05,3.117181025149218
0.00018,2.197094835074098
0.00032,1.554410611987291
0.00056,1.145093578827257
0.001,0.8158704491826254
