swapSweep(gmro "ID") (L=5e-07) X,swapSweep(gmro "ID") (L=5e-07) Y
1e-09,39.55646235617502
1.8e-09,41.33312909777777
3.200000000000001e-09,42.78982253662578
5.6e-09,44.01054060744679
1e-08,45.12527713831717
1.8e-08,46.14850172088364
3.2e-08,47.08633489023382
5.600000000000001e-08,47.93615616414017
1e-07,48.66739440627897
1.8e-07,49.04282409466747
3.2e-07,48.74624092079547
5.6e-07,47.55540166520431
1e-06,45.32517082791882
1.8e-06,42.41634277260241
3.2e-06,39.46672431042062
5.6e-06,36.50960625176875
9.999999999999999e-06,33.0182338299328
1.8e-05,28.90696865953837
3.2e-05,24.71659318623797
5.6e-05,20.97513906422424
9.999999999999999e-05,17.65822486655545
0.00018,14.66986439825414
0.00032,11.97955170737906
0.00056,11.52644087946613
0.001,11.35237360326406
