swapSweep(cgg "ID") (L=2e-06) X,swapSweep(cgg "ID") (L=2e-06) Y
1e-09,1.393535685577047e-14
1.8e-09,1.414068432014032e-14
3.200000000000001e-09,1.443755895694699e-14
5.6e-09,1.484652190835945e-14
1e-08,1.542968542113686e-14
1.8e-08,1.622865124957356e-14
3.2e-08,1.725300029431452e-14
5.600000000000001e-08,1.851102196759737e-14
1e-07,2.009847848679649e-14
1.8e-07,2.199468902603208e-14
3.2e-07,2.408875374983559e-14
5.6e-07,2.627938902679582e-14
1e-06,2.856544756869782e-14
1.8e-06,3.068590736923938e-14
3.2e-06,3.23589290349176e-14
5.6e-06,3.353112723813474e-14
9.999999999999999e-06,3.434488342678056e-14
1.8e-05,3.489615577248405e-14
3.2e-05,3.529005043367713e-14
5.6e-05,3.560170920207415e-14
9.999999999999999e-05,3.58778913146565e-14
0.00018,3.611615932568933e-14
0.00032,3.6307901499922e-14
0.00056,3.644895357603972e-14
0.001,3.653178548836678e-14
