swapSweep(gmro "ID") (L=1e-05) X,swapSweep(gmro "ID") (L=1e-05) Y
1e-09,62.87044437261128
1.8e-09,69.34451182758126
3.200000000000001e-09,73.64691593064083
5.6e-09,76.83674734830991
1e-08,79.39736891035855
1.8e-08,81.26668738257177
3.2e-08,82.79061955922084
5.600000000000001e-08,84.25759256268077
1e-07,86.01690719891579
1.8e-07,88.25824060758944
3.2e-07,91.00662996446903
5.6e-07,93.93500550287426
1e-06,96.54445148633147
1.8e-06,97.92205565081413
3.2e-06,97.59886377477844
5.6e-06,95.97613482875447
9.999999999999999e-06,93.54854674186903
1.8e-05,90.45978825904757
3.2e-05,86.48773873675826
5.6e-05,81.67830952267957
9.999999999999999e-05,76.37232018837288
0.00018,71.47947616293183
0.00032,66.89788182906466
0.00056,57.63048742105327
0.001,11.42939935059902
