swapSweep(cgg "ID") (L=4e-06) X,swapSweep(cgg "ID") (L=4e-06) Y
1e-09,5.299916428714523e-14
1.8e-09,5.382604117212698e-14
3.200000000000001e-09,5.502659377361597e-14
5.6e-09,5.667770591605649e-14
1e-08,5.902693471653937e-14
1.8e-08,6.2240501552283e-14
3.2e-08,6.636655049140885e-14
5.600000000000001e-08,7.138941198879641e-14
1e-07,7.775672091584098e-14
1.8e-07,8.530817795378798e-14
3.2e-07,9.366280098937601e-14
5.6e-07,1.023567697555751e-13
1e-06,1.113814880145906e-13
1.8e-06,1.196373090283773e-13
3.2e-06,1.260722233368978e-13
5.6e-06,1.30538243154931e-13
9.999999999999999e-06,1.336370353873317e-13
1.8e-05,1.357471421231023e-13
3.2e-05,1.372715833062143e-13
5.6e-05,1.384840809517039e-13
9.999999999999999e-05,1.395589217038567e-13
0.00018,1.404848006698301e-13
0.00032,1.412298872028e-13
0.00056,1.417832612425147e-13
0.001,1.421310515213464e-13
