swapSweep(gmro "ID") (L=1.2e-05) X,swapSweep(gmro "ID") (L=1.2e-05) Y
1e-09,64.20376465311377
1.8e-09,71.24268711180079
3.200000000000001e-09,76.09722351273942
5.6e-09,79.4771535885402
1e-08,82.16604915525851
1.8e-08,84.10681205034093
3.2e-08,85.6696352886231
5.600000000000001e-08,87.17178470897338
1e-07,88.98442861579173
1.8e-07,91.30879208516853
3.2e-07,94.17705493475523
5.6e-07,97.24388001983513
1e-06,99.97014275601249
1.8e-06,101.380269032017
3.2e-06,100.9759472162766
5.6e-06,99.19076517918728
9.999999999999999e-06,96.55582935206412
1.8e-05,93.23895296872337
3.2e-05,89.02161576337026
5.6e-05,83.96440943291806
9.999999999999999e-05,78.4322085498024
0.00018,73.38689849973457
0.00032,68.76238587770438
0.00056,59.42919009289335
0.001,11.22035739677145
