swapSweep(cgg "ID") (L=1e-05) X,swapSweep(cgg "ID") (L=1e-05) Y
1e-09,3.174788274516586e-13
1.8e-09,3.223035714667592e-13
3.200000000000001e-09,3.296663370194313e-13
5.6e-09,3.395177618508766e-13
1e-08,3.537592729298762e-13
1.8e-08,3.731857693153317e-13
3.2e-08,3.982676660119914e-13
5.600000000000001e-08,4.296552189586779e-13
1e-07,4.678745240602527e-13
1.8e-07,5.148982963106001e-13
3.2e-07,5.657648613148903e-13
5.6e-07,6.192632043792209e-13
1e-06,6.745589311047551e-13
1.8e-06,7.246093154035831e-13
3.2e-06,7.631619405073949e-13
5.6e-06,7.897587601952783e-13
9.999999999999999e-06,8.081091017927886e-13
1.8e-05,8.207690534873667e-13
3.2e-05,8.299412949120721e-13
5.6e-05,8.372908101727777e-13
9.999999999999999e-05,8.438057936059247e-13
0.00018,8.494124551495337e-13
0.00032,8.539113946964202e-13
0.00056,8.572654059457186e-13
0.001,8.594338655752397e-13
