swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=1e-05) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=1e-05) Y
1e-09,4.224345897108375e-13
1.8e-09,4.244758283154118e-13
3.2e-09,4.302295462176711e-13
5.6e-09,4.422658771149044e-13
1e-08,4.662582640398727e-13
1.8e-08,5.041416879616317e-13
3.2e-08,5.586040404897951e-13
5.6e-08,6.311094426282566e-13
1e-07,7.240879330809906e-13
1.8e-07,8.298879763766359e-13
3.2e-07,9.414569397300015e-13
5.6e-07,1.052479246455358e-12
1e-06,1.164743088602252e-12
1.8e-06,1.271848596006368e-12
3.2e-06,1.3664673304911e-12
5.6e-06,1.445208566912012e-12
1e-05,1.510488503630214e-12
1.8e-05,1.559656181166362e-12
3.2e-05,1.594381364159073e-12
5.6e-05,1.619871555087349e-12
0.0001,1.640744399732955e-12
0.00018,1.657386350737941e-12
0.00032,1.668894084632399e-12
0.00056,1.674436530533889e-12
0.001,1.673320453909538e-12
