swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=2e-06) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=2e-06) Y
1e-09,1.860315079240252e-14
1.8e-09,1.864395917724143e-14
3.2e-09,1.881076340832434e-14
5.6e-09,1.918040767010636e-14
1e-08,1.991046164322491e-14
1.8e-08,2.118386579962835e-14
3.2e-08,2.312068253319646e-14
5.6e-08,2.574795667504766e-14
1e-07,2.925661226019451e-14
1.8e-07,3.351005978386684e-14
3.2e-07,3.812610396384456e-14
5.6e-07,4.28427575895143e-14
1e-06,4.774612029461526e-14
1.8e-06,5.247817995324307e-14
3.2e-06,5.671335509402383e-14
5.6e-06,6.025125061484022e-14
1e-05,6.314882490279915e-14
1.8e-05,6.530107267839934e-14
3.2e-05,6.679950908327722e-14
5.6e-05,6.787596875822281e-14
0.0001,6.874679764384156e-14
0.00018,6.94360314065815e-14
0.00032,6.990391350167386e-14
0.00056,7.010597325377016e-14
0.001,6.999636612789115e-14
