swapSweep(gmro "ID") (L=5e-07) X,swapSweep(gmro "ID") (L=5e-07) Y
1e-09,169.9767332981427
1.8e-09,170.8093471813754
3.200000000000001e-09,171.4858386753138
5.6e-09,172.1925034053405
1e-08,173.2455140417678
1.8e-08,174.894612600482
3.2e-08,177.0460418382931
5.600000000000001e-08,178.9738880529047
1e-07,179.2687387093048
1.8e-07,175.7450152126317
3.2e-07,167.0069101322717
5.6e-07,153.4866413559682
1e-06,135.9259415020005
1.8e-06,116.978383808097
3.2e-06,98.80056291887058
5.6e-06,81.91433125549118
9.999999999999999e-06,65.71203868841033
1.8e-05,51.42513681923769
3.2e-05,40.0377918807411
5.6e-05,31.37018779742918
9.999999999999999e-05,24.51888272801628
0.00018,19.33398490273242
0.00032,15.5261104217873
0.00056,12.53194309272412
0.001,10.89437496962052
