swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=8e-06) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=8e-06) Y
1e-09,2.720878241156566e-13
1.8e-09,2.73256780104599e-13
3.2e-09,2.770094552644977e-13
5.6e-09,2.852846592911084e-13
1e-08,2.992068651549777e-13
1.8e-08,3.23874340025671e-13
3.2e-08,3.586691723282846e-13
5.6e-08,4.049233650058202e-13
1e-07,4.642881088366676e-13
1.8e-07,5.32480134347042e-13
3.2e-07,6.042104838954582e-13
5.6e-07,6.75720804422385e-13
1e-06,7.481191280087399e-13
1.8e-06,8.172481029834606e-13
3.2e-06,8.783673933173581e-13
5.6e-06,9.292404073012115e-13
1e-05,9.714008272950398e-13
1.8e-05,1.003142870450492e-12
3.2e-05,1.025527614340632e-12
5.6e-05,1.041946409469784e-12
0.0001,1.055382941117588e-12
0.00018,1.066096074009038e-12
0.00032,1.07350286637899e-12
0.00056,1.077059442500688e-12
0.001,1.076303517979334e-12
