swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=1e-06) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=1e-06) Y
1e-09,5.188278074098921e-15
1.8e-09,5.186917175026099e-15
3.2e-09,5.207189399337385e-15
5.6e-09,5.263328798457919e-15
1e-08,5.385280098574923e-15
1.8e-08,5.613995853104822e-15
3.2e-08,5.984990094589089e-15
5.6e-08,6.523617308287384e-15
1e-07,7.287492811680812e-15
1.8e-07,8.266641252134583e-15
3.2e-07,9.393528466222598e-15
5.6e-07,1.059222454830151e-14
1e-06,1.188023825981745e-14
1.8e-06,1.317040865662439e-14
3.2e-06,1.434082700549192e-14
5.6e-06,1.532367718813749e-14
1e-05,1.612560835744223e-14
1.8e-05,1.671298561093466e-14
3.2e-05,1.711127965727413e-14
5.6e-05,1.739037683053098e-14
0.0001,1.761217150820621e-14
0.00018,1.778467680604382e-14
0.00032,1.789771520713053e-14
0.00056,1.793407485552172e-14
0.001,1.787039405943605e-14
