swapSweep(gmoverid "ID") (L=1e-06) X,swapSweep(gmoverid "ID") (L=1e-06) Y
1e-09,26.49911939734741
1.8e-09,26.30824816638749
3.200000000000001e-09,26.06496393572133
5.6e-09,25.76009026893324
1e-08,25.36146713722445
1.8e-08,24.85510815935396
3.2e-08,24.24102363002406
5.600000000000001e-08,23.49272728902905
1e-07,22.48030853020287
1.8e-07,21.08224059538967
3.2e-07,19.23941558066947
5.6e-07,17.02281297631341
1e-06,14.49666039970025
1.8e-06,12.04432629873714
3.2e-06,9.953925533472139
5.6e-06,8.200471588440305
9.999999999999999e-06,6.572518724291792
1.8e-05,5.081853587763668
3.2e-05,3.815952399607234
5.6e-05,2.806875647102705
9.999999999999999e-05,1.992322418620392
0.00018,1.370631055201866
0.00032,0.9189596685168727
0.00056,0.5983938782314639
0.001,0.3710037069648966
