swapSweep(cgg "ID") (L=8e-06) X,swapSweep(cgg "ID") (L=8e-06) Y
1e-09,2.087882956575086e-13
1.8e-09,2.113604334544478e-13
3.200000000000001e-09,2.156082544209707e-13
5.6e-09,2.220219823602734e-13
1e-08,2.31824213003645e-13
1.8e-08,2.457579526559261e-13
3.2e-08,2.639393588358472e-13
5.600000000000001e-08,2.860414674502985e-13
1e-07,3.132936047020744e-13
1.8e-07,3.444658299320143e-13
3.2e-07,3.767243226208029e-13
5.6e-07,4.072291575999751e-13
1e-06,4.343861947349777e-13
1.8e-06,4.55144870067186e-13
3.2e-06,4.687020082233707e-13
5.6e-06,4.771573037552202e-13
9.999999999999999e-06,4.82983837753243e-13
1.8e-05,4.871101090236e-13
3.2e-05,4.898518156248644e-13
5.6e-05,4.913263117531947e-13
9.999999999999999e-05,4.915236377999253e-13
0.00018,4.90191450231158e-13
0.00032,4.87283497437155e-13
0.00056,4.830579511203759e-13
0.001,4.796723822874339e-13
