swapSweep(gmoverid "ID") (L=3.5e-07) X,swapSweep(gmoverid "ID") (L=3.5e-07) Y
1e-09,25.04875873570888
1.8e-09,24.70618528649363
3.200000000000001e-09,24.29641036411437
5.6e-09,23.81968517469732
1e-08,23.24369425212847
1.8e-08,22.56558054238198
3.2e-08,21.7736721176757
5.600000000000001e-08,20.80218734269732
1e-07,19.47194784156589
1.8e-07,17.71141673767406
3.2e-07,15.5996029656923
5.6e-07,13.31532202634377
1e-06,10.89759159613373
1.8e-06,8.585646580148554
3.2e-06,6.573761857243327
5.6e-06,4.918345796417263
9.999999999999999e-06,3.538986576529409
1.8e-05,2.472656047967557
3.2e-05,1.706001779730393
5.6e-05,1.168993722724716
9.999999999999999e-05,0.7785253940388432
0.00018,0.5117853778039948
0.00032,0.3421789059382839
0.00056,0.2379462742611518
0.001,0.2134837709926845
